85732;Principio de verduras;3331;Carbohidratos;562.0;Desayuno
85733;Ensalada mixta;3642;Fibra;200.0;Almuerzo
85734;Pollo a la plancha;4587;Proteína;350.0;Cena
85735;Fruta fresca;9845;Vitaminas;150.0;Merienda
85736;Sopa de verduras;2134;Fibra;180.0;Almuerzo
85737;Arroz integral;5698;Carbohidratos;300.0;Cena
85738;Huevo revuelto;7845;Proteína;200.0;Desayuno
85739;Batido de frutas;6521;Vitaminas;250.0;Merienda
85740;Pescado al horno;3478;Proteína;400.0;Cena
85741;Yogur natural;4823;Proteína;120.0;Desayuno
85742;Barra de granola;7954;Carbohidratos;180.0;Merienda
85743;Ensalada de quinoa;2468;Fibra;220.0;Almuerzo
85744;Tostadas integrales;5142;Carbohidratos;150.0;Desayuno
85745;Pavo a la plancha;3765;Proteína;300.0;Cena
85746;Zumo de naranja;8932;Vitaminas;100.0;Desayuno
85747;Almendras;1357;Grasas saludables;200.0;Merienda
85748;Pasta integral;7625;Carbohidratos;350.0;Almuerzo
85749;Queso cottage;5894;Proteína;150.0;Merienda
85750;Salmón a la parrilla;4217;Proteína;450.0;Cena
32478;Vegetales;1111;Carbohidratos;23.0;Cena
26357;Yogurt griego con fresas;7625;Lacteos;649.0;Merienda
